,City1,City2,Month,Passenger Count,Flight Count,Average Capacity (%),Flight Distance (km),Actual Passenger Distance (km),Potential Passenger Distance (km),Seats,Plane Size (seats)
2388,DUBBO,SYDNEY,1988-07-01,6126,412,56.2,310,1899060,3379110,10900,26.45631067961165
2389,GOLD COAST,SYDNEY,1988-07-01,80926,853,86.9,680,55029680,63325293,93125,109.17350527549824
2390,HOBART,MELBOURNE,1988-07-01,19014,239,75.4,618,11750652,15584419,25218,105.51464435146444
2391,KALGOORLIE,PERTH,1988-07-01,10256,298,72.6,538,5517728,7600176,14127,47.40604026845637
2392,KARRATHA,PERTH,1988-07-01,12874,240,82.3,1250,16092500,19553463,15643,65.17916666666666
2393,LAUNCESTON,MELBOURNE,1988-07-01,30977,557,73.2,476,14745052,20143514,42318,75.97486535008977
2394,MELBOURNE,BURNIE,1988-07-01,3565,134,61.3,378,1347570,2198320,5816,43.40298507462686
2395,MELBOURNE,GOLD COAST,1988-07-01,32147,248,91.3,1330,42755510,46829693,35210,141.9758064516129
2396,MELBOURNE,MILDURA,1988-07-01,4190,328,49.5,457,1914830,3868343,8465,25.807926829268293
2397,MELBOURNE,PERTH,1988-07-01,30315,305,81.6,2706,82032390,100529890,37151,121.80655737704917
2398,MELBOURNE,SYDNEY,1988-07-01,207930,1892,74.9,706,146798580,195992764,277610,146.72832980972515
2399,PERTH,SYDNEY,1988-07-01,22182,206,77.0,3284,72845688,94604790,28808,139.84466019417476
2400,SUNSHINE COAST,MELBOURNE,1988-07-01,2722,58,73.2,1454,3957788,5406814,3719,64.12068965517241
2401,SUNSHINE COAST,SYDNEY,1988-07-01,5407,114,77.4,837,4525659,5847105,6986,61.280701754385966
2402,SYDNEY,TOWNSVILLE,1988-07-01,7295,73,91.4,1690,12328550,13488567,7981,109.32876712328768
2403,SYDNEY,WAGGA WAGGA,1988-07-01,5821,162,72.0,367,2136307,2967093,8085,49.907407407407405
2404,ADELAIDE,ALICE SPRINGS,1988-08-01,16126,127,91.3,1316,21221816,23244048,17663,139.07874015748033
2405,ADELAIDE,BRISBANE,1988-08-01,7189,70,90.0,1622,11660558,12956176,7988,114.11428571428571
2406,ADELAIDE,CANBERRA,1988-08-01,1705,25,59.8,972,1657260,2771338,2851,114.04
2407,ADELAIDE,DARWIN,1988-08-01,984,9,84.9,2619,2577096,3035449,1159,128.77777777777777
2408,ADELAIDE,GOLD COAST,1988-08-01,1698,16,86.9,1607,2728686,3140030,1954,122.125
2409,ADELAIDE,MELBOURNE,1988-08-01,69551,715,78.1,643,44721293,57261579,89054,124.55104895104895
2410,ADELAIDE,PERTH,1988-08-01,20422,196,79.7,2120,43294640,54322008,25624,130.73469387755102
2411,ADELAIDE,SYDNEY,1988-08-01,40535,400,78.5,1167,47304345,60260312,51637,129.0925
2412,ALBURY,SYDNEY,1988-08-01,10435,260,72.2,452,4716620,6532715,14453,55.58846153846154
2413,ALICE SPRINGS,DARWIN,1988-08-01,18959,155,88.7,1305,24741495,27893455,21374,137.8967741935484
2414,ALICE SPRINGS,SYDNEY,1988-08-01,12279,133,82.6,2022,24828138,30058278,14866,111.77443609022556
2415,BRISBANE,CAIRNS,1988-08-01,22451,235,88.1,1391,31229341,35447606,25484,108.44255319148937
2416,BRISBANE,CANBERRA,1988-08-01,83,1,76.1,956,79348,104268,109,109.0
2417,BRISBANE,DARWIN,1988-08-01,2687,26,90.2,2852,7663324,8495925,2979,114.57692307692308
2418,BRISBANE,MACKAY,1988-08-01,1152,18,66.7,797,918144,1376528,1727,95.94444444444444
2419,BRISBANE,MELBOURNE,1988-08-01,52388,491,86.7,1381,72347828,83446168,60424,123.06313645621181
2420,BRISBANE,PERTH,1988-08-01,520,4,90.3,3615,1879800,2081728,576,144.0
2421,BRISBANE,PROSERPINE,1988-08-01,4287,62,69.4,895,3836865,5528624,6177,99.62903225806451
2422,BRISBANE,ROCKHAMPTON,1988-08-01,23753,307,78.2,518,12304054,15734084,30375,98.9413680781759
2423,BRISBANE,SYDNEY,1988-08-01,178708,1473,83.4,753,134567124,161351468,214278,145.4704684317719
2424,BRISBANE,TOWNSVILLE,1988-08-01,45219,440,87.7,1112,50283528,57335836,51561,117.18409090909091
2425,BROOME,PERTH,1988-08-01,2077,41,82.6,1677,3483129,4216863,2515,61.34146341463415
2426,CAIRNS,MELBOURNE,1988-08-01,2376,23,94.8,2311,5490936,5792127,2506,108.95652173913044
2427,CAIRNS,SYDNEY,1988-08-01,7427,70,93.0,1971,14638617,15740448,7986,114.08571428571429
2428,CANBERRA,MELBOURNE,1988-08-01,36528,583,62.3,470,17168160,27557239,58632,100.56946826758147
2429,CANBERRA,SYDNEY,1988-08-01,58254,946,71.5,236,13747944,19227894,81474,86.1247357293869
2430,COFFS HARBOUR,SYDNEY,1988-08-01,6974,191,69.9,443,3089482,4419860,9977,52.23560209424084
2431,DEVONPORT,MELBOURNE,1988-08-01,8395,294,58.5,412,3458740,5912376,14350,48.80952380952381
2432,DUBBO,SYDNEY,1988-08-01,6558,389,60.3,310,2032980,3371443,10876,27.958868894601544
2433,GOLD COAST,SYDNEY,1988-08-01,75674,801,88.0,680,51458320,58475364,85993,107.35705368289638
2434,HOBART,MELBOURNE,1988-08-01,23934,275,75.9,618,14791212,19487763,31534,114.66909090909091
2435,KALGOORLIE,PERTH,1988-08-01,10754,310,71.0,538,5785652,8148806,15146,48.85806451612903
2436,KARRATHA,PERTH,1988-08-01,11780,227,79.0,1250,14725000,18639241,14911,65.68722466960352
2437,LAUNCESTON,MELBOURNE,1988-08-01,31749,612,72.5,476,15112524,20844861,43792,71.55555555555556
2438,MELBOURNE,BURNIE,1988-08-01,5329,183,58.6,378,2014362,3437478,9094,49.69398907103825
2439,MELBOURNE,GOLD COAST,1988-08-01,28841,223,91.0,1330,38358530,42152231,31693,142.12107623318386
2440,MELBOURNE,MILDURA,1988-08-01,4506,342,51.6,457,2059242,3990779,8733,25.535087719298247
2441,MELBOURNE,PERTH,1988-08-01,29079,326,82.1,2706,78687774,95843817,35419,108.64723926380368
2442,MELBOURNE,SYDNEY,1988-08-01,216819,1995,73.2,706,153074214,209117779,296201,148.47167919799497
2443,PERTH,SYDNEY,1988-08-01,23588,209,83.0,3284,77462992,93328906,28419,135.97607655502392
2444,SUNSHINE COAST,MELBOURNE,1988-08-01,2535,50,79.7,1454,3685890,4624705,3181,63.62
2445,SUNSHINE COAST,SYDNEY,1988-08-01,4458,102,72.5,837,3731346,5146684,6149,60.28431372549019
2446,SYDNEY,TOWNSVILLE,1988-08-01,7415,69,95.4,1690,12531350,13135587,7773,112.65217391304348
2447,SYDNEY,WAGGA WAGGA,1988-08-01,5578,166,67.1,367,2047126,3050858,8313,50.07831325301205
2448,ADELAIDE,ALICE SPRINGS,1988-09-01,16512,128,92.8,1316,21729792,23415724,17793,139.0078125
2449,ADELAIDE,BRISBANE,1988-09-01,7218,66,95.9,1622,11707596,12208129,7527,114.04545454545455
2450,ADELAIDE,CANBERRA,1988-09-01,1984,26,68.3,972,1928448,2823496,2905,111.73076923076923
2451,ADELAIDE,DARWIN,1988-09-01,1143,13,75.1,2619,2993517,3986041,1522,117.07692307692308
2452,ADELAIDE,GOLD COAST,1988-09-01,1341,12,90.6,1607,2154987,2378573,1480,123.33333333333333
2453,ADELAIDE,MELBOURNE,1988-09-01,72621,717,83.1,643,46695303,56191700,87390,121.88284518828452
2454,ADELAIDE,PERTH,1988-09-01,22570,194,88.0,2120,47848400,54373182,25648,132.20618556701032
2455,ADELAIDE,SYDNEY,1988-09-01,44344,393,88.0,1167,51749448,58806191,50391,128.22137404580153
2456,ALBURY,SYDNEY,1988-09-01,11201,257,79.7,452,5062852,6352386,14054,54.68482490272373
2457,ALICE SPRINGS,DARWIN,1988-09-01,16940,151,80.7,1305,22106700,27393680,20991,139.01324503311258
2458,ALICE SPRINGS,SYDNEY,1988-09-01,11440,127,80.1,2022,23131680,28878502,14282,112.45669291338582
2459,BRISBANE,CAIRNS,1988-09-01,22226,235,89.4,1391,30916366,34582065,24861,105.79148936170213
2460,BRISBANE,DARWIN,1988-09-01,2899,28,92.9,2852,8267948,8899836,3121,111.46428571428571
2461,BRISBANE,MACKAY,1988-09-01,1268,18,82.9,797,1010596,1219054,1530,85.0
2462,BRISBANE,MELBOURNE,1988-09-01,59030,517,92.3,1381,81520430,88321159,63954,123.70212765957447
2463,BRISBANE,PERTH,1988-09-01,674,5,93.6,3615,2436510,2603109,720,144.0
2464,BRISBANE,PROSERPINE,1988-09-01,5212,65,80.1,895,4664740,5823645,6507,100.1076923076923
2465,BRISBANE,ROCKHAMPTON,1988-09-01,25258,296,85.6,518,13083644,15284631,29507,99.6858108108108
2466,BRISBANE,SYDNEY,1988-09-01,191021,1469,87.7,753,143838813,164012330,217812,148.27229407760382
2467,BRISBANE,TOWNSVILLE,1988-09-01,45464,448,89.9,1112,50555968,56235782,50572,112.88392857142857
2468,BROOME,PERTH,1988-09-01,2098,38,87.1,1677,3518346,4039433,2409,63.39473684210526
2469,CAIRNS,MELBOURNE,1988-09-01,2467,23,94.4,2311,5701237,6039446,2613,113.6086956521739
2470,CAIRNS,SYDNEY,1988-09-01,7515,70,90.6,1971,14812065,16348858,8295,118.5
2471,CANBERRA,MELBOURNE,1988-09-01,36673,556,67.3,470,17236310,25611159,54492,98.00719424460432
2472,CANBERRA,SYDNEY,1988-09-01,59831,946,75.1,236,14120116,18801752,79668,84.21564482029598
2473,COFFS HARBOUR,SYDNEY,1988-09-01,8030,197,77.8,443,3557290,4572352,10321,52.390862944162436
2474,DARWIN,SYDNEY,1988-09-01,230,3,70.3,3155,725650,1032219,327,109.0
2475,DEVONPORT,MELBOURNE,1988-09-01,12131,351,70.5,412,4997972,7089322,17207,49.022792022792025
2476,DUBBO,SYDNEY,1988-09-01,6840,338,61.3,310,2120400,3459054,11158,33.01183431952663
2477,GOLD COAST,SYDNEY,1988-09-01,83748,833,90.8,680,56948640,62718767,92233,110.72388955582232
2478,HOBART,MELBOURNE,1988-09-01,26847,296,77.6,618,16591446,21380729,34597,116.88175675675676
2479,KALGOORLIE,PERTH,1988-09-01,10432,294,75.5,538,5612416,7433664,13817,46.99659863945578
2480,KARRATHA,PERTH,1988-09-01,11816,227,79.6,1250,14770000,18555276,14844,65.3920704845815
2481,LAUNCESTON,MELBOURNE,1988-09-01,39964,661,82.5,476,19022864,23058017,48441,73.28441754916793
2482,MELBOURNE,BURNIE,1988-09-01,6146,187,66.0,378,2323188,3519982,9312,49.79679144385027
2483,MELBOURNE,GOLD COAST,1988-09-01,36657,266,93.7,1330,48753810,52031814,39122,147.0751879699248
2484,MELBOURNE,MILDURA,1988-09-01,4716,329,56.9,457,2155212,3787719,8288,25.19148936170213
2485,MELBOURNE,PERTH,1988-09-01,34119,329,87.1,2706,92326014,106000016,39172,119.06382978723404
2486,MELBOURNE,SYDNEY,1988-09-01,231708,1953,79.0,706,163585848,207070694,293301,150.17972350230414
2487,PERTH,SYDNEY,1988-09-01,24999,211,87.3,3284,82096716,94039766,28636,135.71563981042655
2488,SUNSHINE COAST,MELBOURNE,1988-09-01,3104,53,94.3,1454,4513216,4786019,3292,62.113207547169814
2489,SUNSHINE COAST,SYDNEY,1988-09-01,5425,108,83.6,837,4540725,5431489,6489,60.083333333333336
2490,SYDNEY,TOWNSVILLE,1988-09-01,6805,67,91.8,1690,11500450,12527723,7413,110.64179104477611
2491,SYDNEY,WAGGA WAGGA,1988-09-01,6130,164,74.1,367,2249710,3036046,8273,50.44512195121951
2492,ADELAIDE,ALICE SPRINGS,1988-10-01,16171,127,90.5,1316,21281036,23514957,17869,140.70078740157481
2493,ADELAIDE,BRISBANE,1988-10-01,7432,72,92.3,1622,12054704,13060351,8052,111.83333333333333
2494,ADELAIDE,CANBERRA,1988-10-01,1844,24,69.5,972,1792368,2578947,2653,110.54166666666667
2495,ADELAIDE,DARWIN,1988-10-01,1148,11,81.5,2619,3006612,3689094,1409,128.0909090909091
2496,ADELAIDE,GOLD COAST,1988-10-01,2156,20,86.4,1607,3464692,4010060,2495,124.75
2497,ADELAIDE,MELBOURNE,1988-10-01,73483,722,83.8,643,47249569,56383734,87689,121.45290858725762
2498,ADELAIDE,PERTH,1988-10-01,22750,198,88.5,2120,48230000,54497175,25706,129.82828282828282
2499,ADELAIDE,SYDNEY,1988-10-01,44204,390,88.9,1167,51586068,58027073,49723,127.4948717948718
2500,ALBURY,SYDNEY,1988-10-01,11181,256,79.0,452,5053812,6397230,14153,55.28515625
2501,ALICE SPRINGS,DARWIN,1988-10-01,14797,154,68.8,1305,19310085,28066984,21507,139.65584415584416
2502,ALICE SPRINGS,SYDNEY,1988-10-01,11140,129,77.5,2022,22525080,29064619,14374,111.42635658914729
2503,BRISBANE,CAIRNS,1988-10-01,20217,221,87.3,1391,28121847,32212883,23158,104.78733031674209
2504,BRISBANE,DARWIN,1988-10-01,2428,26,78.0,2852,6924656,8877764,3113,119.73076923076923
2505,BRISBANE,MACKAY,1988-10-01,871,18,61.6,797,694187,1126927,1414,78.55555555555556
2506,BRISBANE,MELBOURNE,1988-10-01,52702,502,86.3,1381,72781462,84335414,61068,121.64940239043824
2507,BRISBANE,PERTH,1988-10-01,622,5,86.4,3615,2248530,2602465,720,144.0
2508,BRISBANE,PROSERPINE,1988-10-01,5065,69,73.7,895,4533175,6150848,6872,99.59420289855072
2509,BRISBANE,ROCKHAMPTON,1988-10-01,25598,305,85.3,518,13259764,15544858,30009,98.39016393442623
2510,BRISBANE,SYDNEY,1988-10-01,179546,1513,83.2,753,135198138,162497762,215800,142.6305353602115
2511,BRISBANE,TOWNSVILLE,1988-10-01,40511,422,84.4,1112,45048232,53374682,47999,113.74170616113744
2512,BROOME,PERTH,1988-10-01,1971,38,79.2,1677,3305367,4173443,2489,65.5
2513,CAIRNS,MELBOURNE,1988-10-01,2959,29,87.0,2311,6838249,7860056,3401,117.27586206896552
2514,CAIRNS,SYDNEY,1988-10-01,7398,76,83.0,1971,14581458,17568022,8913,117.27631578947368
2515,CANBERRA,MELBOURNE,1988-10-01,38572,534,70.8,470,18128840,25605706,54480,102.02247191011236
2516,CANBERRA,SYDNEY,1988-10-01,56287,886,74.1,236,13283732,17926764,75961,85.73476297968398
2517,COFFS HARBOUR,SYDNEY,1988-10-01,8516,205,78.2,443,3772588,4824281,10890,53.1219512195122
2518,DARWIN,SYDNEY,1988-10-01,363,6,55.5,3155,1145265,2063541,654,109.0
2519,DEVONPORT,MELBOURNE,1988-10-01,10196,311,67.2,412,4200752,6251119,15173,48.78778135048231
2520,DUBBO,SYDNEY,1988-10-01,6720,361,62.7,310,2083200,3322488,10718,29.689750692520775
2521,GOLD COAST,SYDNEY,1988-10-01,84008,878,85.9,680,57125440,66502258,97797,111.3861047835991
2522,HOBART,MELBOURNE,1988-10-01,25554,288,80.6,618,15792372,19593514,31705,110.08680555555556
2523,KALGOORLIE,PERTH,1988-10-01,10257,286,74.7,538,5518266,7387237,13731,48.01048951048951
2524,KARRATHA,PERTH,1988-10-01,12043,220,80.3,1250,15053750,18746887,14998,68.17272727272727
2525,LAUNCESTON,MELBOURNE,1988-10-01,33757,613,76.0,476,16068332,21142542,44417,72.4584013050571
2526,MELBOURNE,BURNIE,1988-10-01,4507,159,56.7,378,1703646,3004667,7949,49.9937106918239
2527,MELBOURNE,GOLD COAST,1988-10-01,31298,248,86.4,1330,41626340,48178634,36225,146.06854838709677
2528,MELBOURNE,MILDURA,1988-10-01,4434,337,51.4,457,2026338,3942292,8626,25.596439169139465
2529,MELBOURNE,PERTH,1988-10-01,33499,323,88.8,2706,90648294,102081412,37724,116.79256965944272
2530,MELBOURNE,SYDNEY,1988-10-01,219515,1916,79.9,706,154977590,193964443,274737,143.3909185803758
2531,PERTH,SYDNEY,1988-10-01,27134,220,90.1,3284,89108056,98899063,30115,136.88636363636363
2532,SUNSHINE COAST,MELBOURNE,1988-10-01,2528,49,80.8,1454,3675712,4549149,3129,63.857142857142854
2533,SUNSHINE COAST,SYDNEY,1988-10-01,5831,116,84.5,837,4880547,5775795,6901,59.491379310344826
2534,SYDNEY,TOWNSVILLE,1988-10-01,6676,65,90.8,1690,11282440,12425595,7352,113.1076923076923
2535,SYDNEY,WAGGA WAGGA,1988-10-01,6062,168,71.7,367,2224754,3102865,8455,50.32738095238095
2536,ADELAIDE,ALICE SPRINGS,1988-11-01,13167,123,84.8,1316,17327772,20433693,15527,126.23577235772358
2537,ADELAIDE,BRISBANE,1988-11-01,6006,68,76.6,1622,9741732,12717666,7841,115.30882352941177
2538,ADELAIDE,CANBERRA,1988-11-01,2533,30,76.2,972,2462076,3231071,3324,110.8
2539,ADELAIDE,DARWIN,1988-11-01,597,8,68.5,2619,1563543,2282545,872,109.0
2540,ADELAIDE,MELBOURNE,1988-11-01,77869,802,77.2,643,50069767,64857211,100867,125.76932668329177
2541,ADELAIDE,PERTH,1988-11-01,20157,195,77.7,2120,42732840,54997220,25942,133.03589743589743
2542,ADELAIDE,SYDNEY,1988-11-01,51592,475,80.3,1167,60207864,74978660,64249,135.26105263157893
2543,ALBURY,SYDNEY,1988-11-01,7830,228,65.1,452,3539160,5436498,12028,52.75438596491228
2544,ALICE SPRINGS,DARWIN,1988-11-01,11182,138,64.6,1305,14592510,22589025,17310,125.43478260869566
2545,ALICE SPRINGS,SYDNEY,1988-11-01,8473,125,61.6,2022,17132406,27812347,13755,110.04
2546,BRISBANE,CAIRNS,1988-11-01,15419,200,77.9,1391,21447829,27532515,19793,98.965
2547,BRISBANE,DARWIN,1988-11-01,2381,32,66.9,2852,6790612,10150392,3559,111.21875
2548,BRISBANE,MACKAY,1988-11-01,2284,68,49.4,797,1820348,3684915,4623,67.98529411764706
2549,BRISBANE,MELBOURNE,1988-11-01,41307,457,76.3,1381,57044967,74764046,54138,118.46389496717724
2550,BRISBANE,PROSERPINE,1988-11-01,3362,69,58.9,895,3008990,5108642,5708,82.72463768115942
2551,BRISBANE,ROCKHAMPTON,1988-11-01,19539,286,74.1,518,10121202,13658842,26368,92.1958041958042
2552,BRISBANE,SYDNEY,1988-11-01,132982,1243,72.1,753,100135446,138884114,184441,148.38374899436846
2553,BRISBANE,TOWNSVILLE,1988-11-01,33424,403,76.7,1112,37167488,48458263,43578,108.13399503722084
2554,BROOME,PERTH,1988-11-01,1462,27,76.6,1677,2451774,3200749,1909,70.70370370370371
2555,CAIRNS,MELBOURNE,1988-11-01,527,7,69.1,2311,1217897,1762514,763,109.0
2556,CAIRNS,SYDNEY,1988-11-01,5538,64,76.4,1971,10915398,14287170,7249,113.265625
2557,CANBERRA,MELBOURNE,1988-11-01,41035,564,70.3,470,19286450,27434495,58371,103.49468085106383
2558,CANBERRA,SYDNEY,1988-11-01,57337,938,70.9,236,13531532,19085377,80870,86.21535181236673
2559,COFFS HARBOUR,SYDNEY,1988-11-01,7916,188,77.9,443,3506788,4501653,10162,54.0531914893617
2560,DEVONPORT,MELBOURNE,1988-11-01,8779,289,62.3,412,3616948,5805695,14091,48.75778546712803
2561,DUBBO,SYDNEY,1988-11-01,6897,348,62.7,310,2138070,3410000,11000,31.60919540229885
2562,GOLD COAST,SYDNEY,1988-11-01,62329,746,80.1,680,42383720,52913508,77814,104.3083109919571
2563,HOBART,MELBOURNE,1988-11-01,24680,273,82.7,618,15252240,18442854,29843,109.31501831501832
2564,KALGOORLIE,PERTH,1988-11-01,11329,306,72.3,538,6095002,8430155,15669,51.205882352941174
2565,KARRATHA,PERTH,1988-11-01,9735,178,76.1,1250,12168750,15990473,12792,71.86516853932584
2566,LAUNCESTON,MELBOURNE,1988-11-01,32513,642,74.9,476,15476188,20662467,43409,67.61526479750779
2567,MELBOURNE,BURNIE,1988-11-01,4386,165,53.2,378,1657908,3116368,8244,49.96363636363636
2568,MELBOURNE,GOLD COAST,1988-11-01,19617,180,81.0,1330,26090610,32210630,24219,134.55
2569,MELBOURNE,MILDURA,1988-11-01,4497,344,51.4,457,2055129,3998305,8749,25.433139534883722
2570,MELBOURNE,PERTH,1988-11-01,32131,333,84.0,2706,86946486,103507721,38251,114.86786786786787
2571,MELBOURNE,SYDNEY,1988-11-01,221987,1948,78.4,706,156722822,199901559,283147,145.35266940451746
2572,PERTH,SYDNEY,1988-11-01,23736,213,83.0,3284,77949024,93914487,28598,134.26291079812208
2573,SUNSHINE COAST,MELBOURNE,1988-11-01,1374,38,65.9,1454,1997796,3031557,2085,54.86842105263158
2574,SUNSHINE COAST,SYDNEY,1988-11-01,3599,87,68.3,837,3012363,4410488,5269,60.5632183908046
2575,SYDNEY,TOWNSVILLE,1988-11-01,5544,60,79.3,1690,9369360,11815082,6991,116.51666666666667
2576,SYDNEY,WAGGA WAGGA,1988-11-01,5744,162,70.5,367,2108048,2990139,8148,50.2962962962963
2577,ADELAIDE,ALICE SPRINGS,1988-12-01,14547,131,78.8,1316,19143852,24294228,18461,140.9236641221374
2578,ADELAIDE,BRISBANE,1988-12-01,5719,62,82.9,1622,9276218,11189648,6899,111.2741935483871
2579,ADELAIDE,CANBERRA,1988-12-01,2178,25,79.4,972,2117016,2666267,2743,109.72
2580,ADELAIDE,DARWIN,1988-12-01,1102,10,89.6,2619,2886138,3221136,1230,123.0
2581,ADELAIDE,GOLD COAST,1988-12-01,457,5,78.8,1607,734399,931978,580,116.0
2582,ADELAIDE,MELBOURNE,1988-12-01,64756,683,76.7,643,41638108,54286973,84428,123.6134699853587
2583,ADELAIDE,PERTH,1988-12-01,21514,191,87.0,2120,45609680,52424920,24729,129.47120418848166
2584,ADELAIDE,SYDNEY,1988-12-01,40906,393,82.6,1167,47737302,57793344,49523,126.01272264631044
2585,ALBURY,SYDNEY,1988-12-01,8202,238,64.7,452,3707304,5729991,12677,53.26470588235294
2586,ALICE SPRINGS,DARWIN,1988-12-01,13557,147,65.8,1305,17691885,26887363,20603,140.156462585034
2587,ALICE SPRINGS,SYDNEY,1988-12-01,7798,129,55.6,2022,15767556,28358914,14025,108.72093023255815
2588,BRISBANE,CAIRNS,1988-12-01,15716,207,75.7,1391,21860956,28878410,20761,100.29468599033817
2589,BRISBANE,CANBERRA,1988-12-01,223,2,88.1,956,213188,241984,253,126.5
2590,BRISBANE,DARWIN,1988-12-01,3216,36,73.5,2852,9172032,12478955,4376,121.55555555555556
2591,BRISBANE,MACKAY,1988-12-01,3299,74,63.0,797,2629303,4173497,5237,70.77027027027027
2592,BRISBANE,MELBOURNE,1988-12-01,40796,442,77.7,1381,56339276,72508721,52505,118.789592760181
2593,BRISBANE,PROSERPINE,1988-12-01,3914,72,65.2,895,3503030,5372745,6003,83.375
2594,BRISBANE,ROCKHAMPTON,1988-12-01,20649,296,74.7,518,10696182,14318851,27643,93.38851351351352
2595,BRISBANE,SYDNEY,1988-12-01,127250,1232,69.9,753,95819250,137080472,182046,147.7646103896104
2596,BRISBANE,TOWNSVILLE,1988-12-01,35419,413,77.7,1112,39385928,50689740,45584,110.37288135593221
2597,BROOME,PERTH,1988-12-01,1742,30,79.2,1677,2921334,3688553,2199,73.3
2598,CAIRNS,MELBOURNE,1988-12-01,405,5,74.3,2311,935955,1259697,545,109.0
2599,CAIRNS,SYDNEY,1988-12-01,5260,63,73.2,1971,10367460,14163197,7186,114.06349206349206
2600,CANBERRA,MELBOURNE,1988-12-01,32325,489,65.7,470,15192750,23124429,49201,100.61554192229039
2601,CANBERRA,SYDNEY,1988-12-01,47475,867,65.3,236,11204100,17157887,72703,83.8558246828143
2602,COFFS HARBOUR,SYDNEY,1988-12-01,8419,209,75.2,443,3729617,4959597,11195,53.56459330143541
2603,DEVONPORT,MELBOURNE,1988-12-01,12980,374,70.9,412,5347760,7542680,18307,48.94919786096256
2604,DUBBO,SYDNEY,1988-12-01,6321,375,55.4,310,1959510,3537022,11410,30.426666666666666
2605,GOLD COAST,SYDNEY,1988-12-01,66814,834,75.5,680,45433520,60176848,88495,106.10911270983213
2606,HOBART,MELBOURNE,1988-12-01,30638,344,81.3,618,18934284,23289402,37685,109.54941860465117
2607,KALGOORLIE,PERTH,1988-12-01,9294,269,72.1,538,5000172,6935051,12890,47.9182156133829
2608,KARRATHA,PERTH,1988-12-01,10327,184,77.0,1250,12908750,16764610,13412,72.8913043478261
2609,LAUNCESTON,MELBOURNE,1988-12-01,36885,674,74.9,476,17557260,23440935,49246,73.06528189910979
2610,MELBOURNE,BURNIE,1988-12-01,5641,181,62.3,378,2132298,3422629,9055,50.027624309392266
2611,MELBOURNE,GOLD COAST,1988-12-01,23185,235,74.5,1330,30836050,41390671,31121,132.42978723404255
2612,MELBOURNE,MILDURA,1988-12-01,4258,316,52.3,457,1945906,3720662,8141,25.7626582278481
2613,MELBOURNE,PERTH,1988-12-01,39188,329,86.3,2706,106042728,122876857,45409,138.0212765957447
2614,MELBOURNE,SYDNEY,1988-12-01,199237,1785,75.6,706,140661322,186059950,263541,147.6420168067227
2615,PERTH,SYDNEY,1988-12-01,27756,218,88.3,3284,91150704,103228430,31434,144.19266055045873
2616,SUNSHINE COAST,MELBOURNE,1988-12-01,1704,46,67.4,1454,2477616,3675988,2528,54.95652173913044
2617,SUNSHINE COAST,SYDNEY,1988-12-01,5909,139,70.4,837,4945833,7025331,8393,60.381294964028775
2618,SYDNEY,TOWNSVILLE,1988-12-01,5578,63,78.6,1690,9426820,11993410,7097,112.65079365079364
2619,SYDNEY,WAGGA WAGGA,1988-12-01,5092,172,58.5,367,1868764,3194468,8704,50.604651162790695
2620,ADELAIDE,ALICE SPRINGS,1989-01-01,15440,129,84.9,1316,20319040,23932909,18186,140.97674418604652
2621,ADELAIDE,BRISBANE,1989-01-01,6705,71,84.9,1622,10875510,12809788,7898,111.2394366197183
2622,ADELAIDE,CANBERRA,1989-01-01,2410,29,73.8,972,2342520,3174146,3266,112.62068965517241
2623,ADELAIDE,DARWIN,1989-01-01,449,9,42.7,2619,1175931,2753937,1052,116.88888888888889
2624,ADELAIDE,GOLD COAST,1989-01-01,883,9,86.9,1607,1418981,1632890,1016,112.88888888888889
2625,ADELAIDE,MELBOURNE,1989-01-01,59441,673,74.0,643,38220563,51649409,80326,119.35512630014858
2626,ADELAIDE,PERTH,1989-01-01,21336,189,87.9,2120,45232320,51458840,24273,128.42857142857142
2627,ADELAIDE,SYDNEY,1989-01-01,38139,388,80.3,1167,44508213,55427413,47496,122.41237113402062
2628,ALBURY,SYDNEY,1989-01-01,7517,228,59.5,452,3397684,5710393,12634,55.41228070175438
2629,ALICE SPRINGS,DARWIN,1989-01-01,14170,147,68.6,1305,18491850,26956050,20656,140.51700680272108
2630,ALICE SPRINGS,SYDNEY,1989-01-01,8133,124,59.0,2022,16444926,27872756,13785,111.16935483870968
2631,BRISBANE,CAIRNS,1989-01-01,14563,184,81.6,1391,20257133,24824918,17847,96.9945652173913
2632,BRISBANE,DARWIN,1989-01-01,2911,37,65.4,2852,8302172,12694453,4451,120.29729729729729
2633,BRISBANE,MACKAY,1989-01-01,2906,71,58.3,797,2316082,3972696,4985,70.21126760563381
2634,BRISBANE,MELBOURNE,1989-01-01,41186,424,84.0,1381,56877866,67711745,49031,115.63915094339623
2636,BRISBANE,PROSERPINE,1989-01-01,4675,70,78.0,895,4184125,5364263,5994,85.62857142857143
2637,BRISBANE,ROCKHAMPTON,1989-01-01,19510,284,75.6,518,10106180,13367963,25807,90.86971830985915
2638,BRISBANE,SYDNEY,1989-01-01,118710,1181,72.7,753,89388630,122955475,163287,138.26164267569857
2639,BRISBANE,TOWNSVILLE,1989-01-01,35348,410,80.5,1112,39306976,48828542,43911,107.1
2640,BROOME,PERTH,1989-01-01,1627,30,76.7,1677,2728479,3557339,2121,70.7
2641,CAIRNS,MELBOURNE,1989-01-01,797,9,78.4,2311,1841867,2349320,1017,113.0
